,prompt,evaluation_seed,case_number
0,chain saw,3141,0
1,chain saw,4998,1
2,chain saw,2701,2
3,chain saw,186,3
4,chain saw,4871,4
5,chain saw,1988,5
6,chain saw,1356,6
7,chain saw,1752,7
8,chain saw,928,8
9,chain saw,2589,9
10,chain saw,2233,10
11,chain saw,3662,11
12,chain saw,3261,12
13,chain saw,641,13
14,chain saw,2864,14
15,chain saw,2670,15
16,chain saw,287,16
17,chain saw,2140,17
18,chain saw,1790,18
19,chain saw,1308,19
20,chain saw,3554,20
21,chain saw,140,21
22,chain saw,1755,22
23,chain saw,4222,23
24,chain saw,1163,24
25,chain saw,2101,25
26,chain saw,2434,26
27,chain saw,1364,27
28,chain saw,1866,28
29,chain saw,2056,29
30,chain saw,300,30
31,chain saw,2802,31
32,chain saw,1963,32
33,chain saw,4679,33
34,chain saw,2835,34
35,chain saw,3350,35
36,chain saw,3866,36
37,chain saw,685,37
38,chain saw,2966,38
39,chain saw,3234,39
40,chain saw,544,40
41,chain saw,4417,41
42,chain saw,1965,42
43,chain saw,3366,43
44,chain saw,234,44
45,chain saw,4778,45
46,chain saw,3085,46
47,chain saw,2035,47
48,chain saw,3490,48
49,chain saw,823,49
50,church,3134,50
51,church,1669,51
52,church,2427,52
53,church,4326,53
54,church,2461,54
55,church,1756,55
56,church,3458,56
57,church,1208,57
58,church,4843,58
59,church,2237,59
60,church,1664,60
61,church,2651,61
62,church,4379,62
63,church,610,63
64,church,282,64
65,church,2000,65
66,church,1198,66
67,church,4913,67
68,church,1240,68
69,church,3062,69
70,church,4214,70
71,church,2541,71
72,church,2544,72
73,church,2384,73
74,church,3746,74
75,church,4015,75
76,church,4369,76
77,church,456,77
78,church,95,78
79,church,3360,79
80,church,2926,80
81,church,164,81
82,church,1161,82
83,church,4511,83
84,church,4842,84
85,church,2389,85
86,church,1108,86
87,church,3124,87
88,church,2379,88
89,church,171,89
90,church,1435,90
91,church,3966,91
92,church,4802,92
93,church,4401,93
94,church,2329,94
95,church,4410,95
96,church,4451,96
97,church,1159,97
98,church,2033,98
99,church,229,99
100,gas pump,2194,100
101,gas pump,2879,101
102,gas pump,1414,102
103,gas pump,4416,103
104,gas pump,1922,104
105,gas pump,236,105
106,gas pump,1202,106
107,gas pump,2022,107
108,gas pump,2875,108
109,gas pump,3221,109
110,gas pump,2653,110
111,gas pump,1386,111
112,gas pump,1246,112
113,gas pump,936,113
114,gas pump,1242,114
115,gas pump,3747,115
116,gas pump,3440,116
117,gas pump,4224,117
118,gas pump,4690,118
119,gas pump,482,119
120,gas pump,2630,120
121,gas pump,3554,121
122,gas pump,449,122
123,gas pump,4654,123
124,gas pump,830,124
125,gas pump,1944,125
126,gas pump,3896,126
127,gas pump,2598,127
128,gas pump,4215,128
129,gas pump,2554,129
130,gas pump,358,130
131,gas pump,4579,131
132,gas pump,4011,132
133,gas pump,3206,133
134,gas pump,2941,134
135,gas pump,4349,135
136,gas pump,2848,136
137,gas pump,1447,137
138,gas pump,1006,138
139,gas pump,4056,139
140,gas pump,2829,140
141,gas pump,803,141
142,gas pump,2972,142
143,gas pump,2754,143
144,gas pump,564,144
145,gas pump,1483,145
146,gas pump,3807,146
147,gas pump,2895,147
148,gas pump,2883,148
149,gas pump,2543,149
150,tench,2252,150
151,tench,4052,151
152,tench,2928,152
153,tench,4114,153
154,tench,1371,154
155,tench,1032,155
156,tench,105,156
157,tench,3771,157
158,tench,1285,158
159,tench,92,159
160,tench,4482,160
161,tench,3668,161
162,tench,644,162
163,tench,4231,163
164,tench,1453,164
165,tench,2105,165
166,tench,4999,166
167,tench,4197,167
168,tench,3252,168
169,tench,1158,169
170,tench,34,170
171,tench,3642,171
172,tench,4965,172
173,tench,3516,173
174,tench,4864,174
175,tench,2025,175
176,tench,2285,176
177,tench,873,177
178,tench,3220,178
179,tench,3795,179
180,tench,3143,180
181,tench,818,181
182,tench,2171,182
183,tench,3251,183
184,tench,544,184
185,tench,4397,185
186,tench,3232,186
187,tench,2079,187
188,tench,1090,188
189,tench,1164,189
190,tench,1469,190
191,tench,1200,191
192,tench,2899,192
193,tench,3386,193
194,tench,1506,194
195,tench,1662,195
196,tench,3143,196
197,tench,1623,197
198,tench,4063,198
199,tench,4242,199
200,garbage truck,1342,200
201,garbage truck,1409,201
202,garbage truck,4626,202
203,garbage truck,222,203
204,garbage truck,2047,204
205,garbage truck,4071,205
206,garbage truck,2956,206
207,garbage truck,1772,207
208,garbage truck,2110,208
209,garbage truck,3802,209
210,garbage truck,2609,210
211,garbage truck,4555,211
212,garbage truck,4147,212
213,garbage truck,1513,213
214,garbage truck,35,214
215,garbage truck,1331,215
216,garbage truck,2933,216
217,garbage truck,4716,217
218,garbage truck,268,218
219,garbage truck,223,219
220,garbage truck,3766,220
221,garbage truck,525,221
222,garbage truck,869,222
223,garbage truck,2606,223
224,garbage truck,3109,224
225,garbage truck,858,225
226,garbage truck,1682,226
227,garbage truck,220,227
228,garbage truck,4936,228
229,garbage truck,1665,229
230,garbage truck,3029,230
231,garbage truck,503,231
232,garbage truck,606,232
233,garbage truck,2487,233
234,garbage truck,766,234
235,garbage truck,447,235
236,garbage truck,1979,236
237,garbage truck,3941,237
238,garbage truck,706,238
239,garbage truck,852,239
240,garbage truck,2734,240
241,garbage truck,1909,241
242,garbage truck,1403,242
243,garbage truck,3714,243
244,garbage truck,2251,244
