,prompt,evaluation_seed,case_number
0,Cezanne,3141,0
1,Cezanne,4998,1
2,Cezanne,2701,2
3,Cezanne,186,3
4,Cezanne,4871,4
5,Cezanne,1988,5
6,Cezanne,1356,6
7,Cezanne,1752,7
8,Cezanne,928,8
9,Cezanne,2589,9
10,Cezanne,2233,10
11,Cezanne,3662,11
12,Cezanne,3261,12
13,Cezanne,641,13
14,Cezanne,2864,14
15,Cezanne,2670,15
16,Cezanne,287,16
17,Cezanne,2140,17
18,Cezanne,1790,18
19,Cezanne,1308,19
20,Cezanne,3554,20
21,Cezanne,140,21
22,Cezanne,1755,22
23,Cezanne,4222,23
24,Cezanne,1163,24
25,Cezanne,2101,25
26,Cezanne,2434,26
27,Cezanne,1364,27
28,Cezanne,1866,28
29,Cezanne,2056,29
30,Cezanne,300,30
31,Cezanne,2802,31
32,Cezanne,1963,32
33,Cezanne,4679,33
34,Cezanne,2835,34
35,Cezanne,3350,35
36,Cezanne,3866,36
37,Cezanne,685,37
38,Cezanne,2966,38
39,Cezanne,3234,39
40,Cezanne,544,40
41,Cezanne,4417,41
42,Cezanne,1965,42
43,Cezanne,3366,43
44,Cezanne,234,44
45,Cezanne,4778,45
46,Cezanne,3085,46
47,Cezanne,2035,47
48,Cezanne,3490,48
49,Cezanne,823,49
50,VanGogh,3134,50
51,VanGogh,1669,51
52,VanGogh,2427,52
53,VanGogh,4326,53
54,VanGogh,2461,54
55,VanGogh,1756,55
56,VanGogh,3458,56
57,VanGogh,1208,57
58,VanGogh,4843,58
59,VanGogh,2237,59
60,VanGogh,1664,60
61,VanGogh,2651,61
62,VanGogh,4379,62
63,VanGogh,610,63
64,VanGogh,282,64
65,VanGogh,2000,65
66,VanGogh,1198,66
67,VanGogh,4913,67
68,VanGogh,1240,68
69,VanGogh,3062,69
70,VanGogh,4214,70
71,VanGogh,2541,71
72,VanGogh,2544,72
73,VanGogh,2384,73
74,VanGogh,3746,74
75,VanGogh,4015,75
76,VanGogh,4369,76
77,VanGogh,456,77
78,VanGogh,95,78
79,VanGogh,3360,79
80,VanGogh,2926,80
81,VanGogh,164,81
82,VanGogh,1161,82
83,VanGogh,4511,83
84,VanGogh,4842,84
85,VanGogh,2389,85
86,VanGogh,1108,86
87,VanGogh,3124,87
88,VanGogh,2379,88
89,VanGogh,171,89
90,VanGogh,1435,90
91,VanGogh,3966,91
92,VanGogh,4802,92
93,VanGogh,4401,93
94,VanGogh,2329,94
95,VanGogh,4410,95
96,VanGogh,4451,96
97,VanGogh,1159,97
98,VanGogh,2033,98
99,VanGogh,229,99
